mass,coord_x,coord_y,coord_z,velocity_x,velocity_y,velocity_z
-0.6916993,-0.0409839,-0.0363144,-1.0641578,-0.1180203,-0.2728307,-0.1973796
-0.4861409,0.3313861,0.2569944,-1.0539479,-0.3471047,0.5398626,-0.1196277
-0.3439574,0.6551000,-1.0235727,-0.3023137,-0.4638661,-0.9607352,-0.6232958
-0.1304523,1.2893171,0.7468097,-0.5138083,0.9513370,-0.2672435,-0.0466419
0.0297182,0.8198189,-0.3598498,0.5242937,-0.1081025,0.4935007,0.3725495
0.7738773,-0.4165255,-0.7437142,-1.0654629,0.7256086,0.1622328,-0.7063984
-0.6214962,-0.5033394,0.4893586,-0.4435130,-0.4108709,0.6307698,-0.9561195
0.1252630,0.9118775,-0.9289072,0.7469716,0.4836829,-0.6989839,-0.4956773
0.4350199,-0.0124055,0.8832220,-0.1338841,-0.0923561,0.8510807,0.8027568
0.7995414,0.6272066,0.3505443,1.0039965,0.5652514,0.3504761,0.8611548
0.2908599,-0.3798895,-0.6808777,0.5213177,0.2148044,0.3287305,-0.2960898
0.8039335,-0.2257322,-0.1680215,-0.1088000,-0.3704650,0.1683754,-0.0759928
-0.8867821,0.2209741,0.3713360,0.0547258,-0.4968360,-0.1139893,-0.9870244
0.4108078,-0.7220722,0.8112532,0.1022331,-0.9183273,-0.0089613,-0.2162322
0.6469241,-0.7313727,-0.4552385,-0.2586422,-0.1457762,-0.2003210,-0.3928522
-0.9309718,-0.8276349,-0.1595178,0.7740420,0.0879099,-0.9411513,-0.1978417
0.7174450,0.0755317,0.8034131,1.0201129,-0.3033845,0.1544955,0.3789005
0.1997795,-1.0706934,0.4956806,0.0210558,-0.2224025,0.2076086,0.8209366
-0.1407298,-1.0312716,-0.2704821,-0.2718171,-0.4598379,0.2496269,0.4439783
0.3943859,-1.3618350,-0.7677830,0.6316033,-0.8222845,0.3621840,0.3363760
0.2656255,0.2451617,-0.4291148,-0.1100630,-0.3517433,0.8646997,-0.1862667
0.3448722,0.0490457,-0.5151128,-0.3777282,0.0597012,0.5845098,0.1552391
0.8372988,-0.2124987,0.2666157,-0.2020496,-0.0092342,0.5808800,0.2027632
