mass,coord_x,coord_y,coord_z,velocity_x,velocity_y,velocity_z
-0.2503313,0.7947891,-0.7429658,0.0845097,-0.0212234,0.2003278,-0.1720585
-0.9346949,-0.9220728,0.0075773,0.4571425,0.0242891,0.9809711,-0.8229463
0.0977787,-0.5323103,0.8304765,-0.8555596,0.9026811,-0.1875002,-0.6807736
0.2434050,0.7843871,-0.6553820,0.2116241,-0.2478259,-0.6584097,0.5017340
-0.8133827,-1.0857449,1.0139035,-0.5103019,-0.8535620,0.7805166,-0.8931753
0.1252146,0.0041580,0.1606953,0.2200865,0.0466272,0.4518580,0.0591340
-0.9290837,0.6574171,0.3163947,0.4954566,0.4491776,0.1604134,0.6535226
0.3518586,1.4135168,0.7960361,-0.1267257,0.8812124,-0.3534276,0.5560209
-0.3666136,0.1527624,-0.1015452,0.1981484,0.3291991,-0.3186001,0.7562896
0.4756370,-0.3167028,0.7620547,-0.0034630,0.4427609,-0.2021194,0.7913711
-0.5106119,-0.4089770,-0.6061488,-0.0751956,0.6825680,-0.9133072,0.7289995
0.1317455,0.3571155,0.5601578,-0.4769615,0.2200193,0.3552712,0.0788678
0.1012317,-1.0031524,-0.0187895,0.5119293,-0.0099937,0.6926435,-0.4453781
-0.6807946,-0.7079754,-1.1020750,0.4926887,-0.1640400,-0.8259741,-0.6043061
-0.7212790,0.0827290,-0.7941505,-0.0676840,0.2216451,0.0375702,0.3284135
-0.0957869,-0.1900525,-0.2226194,-1.2042601,-0.6286309,-0.5600649,-0.4804373
0.5913885,1.1937305,0.2150903,-0.5937603,0.7970499,-0.7666809,-0.5727617
-0.2129438,0.5759642,0.1282461,0.0568136,-0.6999940,0.2927718,-0.0988960
0.1359661,0.1861493,0.5387290,0.0060852,-0.5612959,0.4838630,-0.8172039
0.6603492,-0.1557186,0.2955214,-0.6351764,0.6456962,-0.4313773,-0.3994792
-0.9829348,-0.0895601,-0.0206595,0.2589907,-0.1962359,-0.2814860,-0.6989261
-0.3991860,-0.1092691,0.0833986,0.1349364,-0.1222043,0.7101725,-0.5058681
0.1778017,-0.2621846,0.2412532,-0.3220054,-0.5302581,-0.3079662,0.7284548
-0.0915539,-0.9754395,1.1224825,-0.3645265,-0.3026701,0.4224607,0.1333576
-0.6569741,0.9909046,0.6608597,-0.1556360,-0.0003588,-0.1460381,0.9685450
0.8034054,0.3346306,-0.7314152,-0.1997357,-0.4756911,-0.0020689,0.7920896
0.4021046,0.0636276,-0.3730492,-0.4732566,0.7110479,0.6814573,-0.1063259
-0.8192101,-0.8518146,-0.6111814,0.4182517,-0.4506122,-0.4666200,0.6580312
0.2467176,1.4293039,-0.4459777,1.0646614,0.9469241,-0.4747328,0.9498347
-0.0534347,0.3550819,0.5123797,-0.1729345,-0.0482950,-0.8120015,0.1541899
0.4760139,0.6329464,0.0625300,0.1071310,0.8940332,0.2325010,0.4580249
0.6050812,0.0576829,-0.6613872,0.7234232,0.2874492,-0.0261720,-0.1248931
0.8368371,0.7387332,-0.3045986,-0.0797964,0.4630486,0.3245270,-0.3267019
0.4099725,0.9643068,-0.6061103,-0.5902084,0.2290235,-0.4584875,0.1065085
-0.8192716,0.1872314,-0.6358131,0.4241734,0.9154406,0.2069780,-0.4651391
0.8094738,-0.3838023,0.6651795,0.5147683,0.3534372,-0.6554152,0.2004260
-0.3591135,0.2312231,-1.1201313,-0.2416370,-0.1743793,-0.3913289,0.5612781
-0.7113308,1.3246934,-0.8365679,0.2262311,0.7829924,-0.1422909,-0.9448203
0.0120158,-0.0364123,0.3728811,0.1174875,-0.8712674,0.4223865,-0.1505134
-0.9558269,-0.3362138,0.5729644,0.9877484,0.0688434,0.3772334,0.2682018
-0.5777194,0.7419348,-0.7592913,0.3336122,0.0402310,-0.4558392,0.5408905
0.8658516,0.1958472,0.2705412,-0.4188977,0.0860301,0.3367448,0.8531626
-0.1309774,-0.5087091,0.9433569,0.9179307,0.5936754,0.0700303,0.0737827
0.7224079,-0.4466923,1.0770792,1.0766959,0.1217813,0.3076169,0.6202281
-0.8093753,-0.6118160,0.0669588,-0.0490585,-0.5933315,0.3570578,0.6760724
0.4468995,0.9282435,-0.1234714,0.5463864,0.0540507,-0.6808686,0.4672719
-0.8599192,1.0810421,0.4348233,-0.0458257,0.8503300,0.2287767,-0.1098582
0.4440054,-0.8055816,1.4075202,0.1329103,-0.2087761,0.8871939,-0.0670056
0.9130052,0.6346416,-0.2259513,-1.0381018,0.8796612,0.4416523,-0.2834648
-0.7136703,-0.3513253,-0.3026070,0.7562188,-0.3000713,0.6095704,0.0459803
0.7539793,1.2209910,-0.0699043,0.8456432,0.5845778,0.8336867,-0.0968364
