mass,coord_x,coord_y,coord_z,velocity_x,velocity_y,velocity_z
-0.6321933,-0.0844792,-1.2544161,-0.4844862,-0.5746127,-0.8235596,0.0009606
0.6911759,0.8656815,-0.4078923,-0.0968722,-0.2434371,-0.8935776,-0.6569670
0.4517277,-0.8966030,-0.8202691,-1.0469922,-0.2286528,-0.0428194,-0.8171745
-0.7004339,-0.0221852,1.0311458,-0.8802686,0.8318182,0.2117076,0.1899779
0.3252635,0.1887821,0.1539360,0.2971225,-0.4055938,0.2075323,-0.7918958
0.0197935,0.5696592,-0.1669547,0.1822597,0.3713728,-0.7520387,0.9425807
-0.8720642,-0.8595613,-0.9710081,1.0502925,-0.4278917,-0.5132454,0.9412585
0.3434554,-0.0531440,-1.3512272,0.9769030,-0.9941592,-0.9506242,0.6677642
0.8376591,0.0874147,0.3116979,0.0909188,-0.3473375,0.9079118,-0.1440073
0.2470688,-0.1348474,-0.2993222,-0.7442212,-0.5005832,-0.7268384,-0.0221683
0.8707896,-0.5411247,0.0234255,1.2879212,-0.1244935,0.2060261,0.5783889
0.4476148,0.7611383,0.8415127,-0.4918836,0.1367159,0.6437316,-0.5659082
0.1425568,0.6702044,-0.9183441,-0.4482149,-0.0458091,-0.0404021,-0.8568616
0.6068534,0.3589867,-0.4692552,-0.0856857,0.9829538,-0.9367720,0.1207844
-0.5176294,-0.7348527,-0.8918711,-0.9708982,-0.1424875,0.0190284,-0.6481143
0.7330190,-0.3160285,1.1552345,0.6664860,0.9178351,0.4499222,0.9717039
0.0545511,-0.0129656,-0.8403774,-0.7142302,-0.2132388,-0.4923483,0.1773237
0.7409520,0.1346291,-0.0197414,-0.0513310,-0.6652407,-0.6804068,-0.7982724
-0.6822869,-0.7575746,0.5330760,-0.1232945,-0.2807891,0.4211279,0.1532439
0.5767233,-0.7272374,0.7228326,0.0549304,-0.3347892,0.4354043,-0.5096240
-0.4169540,0.3748163,-0.6039829,1.0549488,0.9789802,-0.1321243,0.8347049
-0.2342586,0.2969163,-0.3217261,-0.0660571,-0.1572230,-0.6675094,0.8544989
0.1775362,-0.3304639,-0.7544036,0.1429159,0.0349051,0.3787384,-0.7046670
0.7541158,-0.0801220,0.4254310,0.1511297,0.2400228,-0.0462934,-0.3594185
0.9052335,-0.4736702,0.4274760,-0.9487835,0.2744373,0.5930375,-0.8741235
0.2534175,-0.1208665,0.9468873,-1.2179129,0.8364404,-0.0273900,-0.4741476
-0.3207826,0.7836931,-0.9013611,1.0327543,0.9571844,-0.5634222,0.3520030
-0.0079105,0.6229064,0.6952940,-0.7152718,-0.3848174,0.0959131,-0.9229555
0.8552053,-1.2310164,0.1419176,0.3847984,-0.5612695,0.8485835,-0.7512817
0.7131678,0.8928877,-0.9578172,-0.0405428,0.9025340,-0.6648237,-0.0142559
0.7389745,0.1142296,0.9575703,-0.9443355,-0.3871131,0.8919477,-0.7250544
-0.4299287,-1.0995550,0.7640899,0.2163435,-0.8561583,0.2742847,-0.6916340
-0.2409757,-0.9198921,-0.5630703,-0.6984355,-0.5801826,0.1030364,-0.6253316
-0.1414520,-0.3517599,-0.3776221,-0.1591335,-0.6067593,-0.0020185,0.5383010
-0.7042252,0.1536302,-0.9581327,-1.2387819,-0.3590559,-0.9643584,-0.5470588
0.2538310,0.5556474,-0.5946954,1.0169345,-0.7438852,-0.6451646,0.3860630
-0.6000435,1.1287799,0.2343488,0.5455856,0.9993179,-0.9201605,0.7732103
-0.5808647,-0.2498762,-0.9664878,0.7023836,-0.8655043,-0.2287346,0.8493991
-0.4722635,0.8204502,0.8435717,-0.2473586,0.1024048,0.9117452,-0.1417394
0.7433490,1.3848733,-0.1692540,-0.0922790,0.8749760,-0.9609115,-0.1789178
-0.8689091,-1.0945539,-0.3420678,-0.1239386,-0.9769558,0.9015743,0.6900281
-0.9776379,1.0635602,0.7687958,-0.1989120,0.1642897,0.6111170,0.7191808
0.2987854,-1.0418028,0.5467199,0.6515375,-0.8483707,-0.0437200,-0.3499668
0.2540342,-0.2242689,0.4180417,0.4946646,-0.1845880,-0.1805045,0.9945630
-0.3096119,-0.0151619,-0.1729599,-0.0022580,0.2525080,0.0227904,0.3525263
0.2755523,-0.1227461,-0.2045493,0.6676202,-0.0942215,-0.4942073,0.7394117
-0.9299318,-1.1334430,0.4721794,0.4665412,-0.5007077,0.0271724,0.1953756
-0.3490784,0.9091910,1.0222590,0.8561246,-0.1485224,0.3537024,-0.0976613
0.6668897,-0.8109115,0.2531751,-0.5533450,0.0317820,0.7125469,0.1787566
-0.7157099,0.0651886,-0.1817982,0.4887218,0.6597022,0.5738373,-0.1422434
-0.4345192,-1.3220993,-0.8749512,-0.8622507,-0.8034601,-0.9442392,-0.9955974
-0.3041679,0.1161259,0.2223713,0.4726089,0.0663856,0.0451869,0.2517093
0.9178632,-0.8150675,-0.8204769,1.0557693,-0.4279128,0.0509498,0.9420307
0.6038693,0.0129139,0.4468220,1.1121596,0.4988343,0.6520702,0.4480017
0.1585364,0.3786757,-0.7427778,0.4038003,0.3055376,-0.0970734,-0.6404338
0.5020775,-0.5205025,-0.3541579,-0.5297599,-0.9583794,0.5637469,0.5446632
0.1080062,-0.3871545,-0.2284170,-0.1688192,0.0078231,-0.0495793,-0.3893775
0.5799104,-1.1161938,-0.1106268,0.2197489,-0.2351326,0.6734405,0.0719390
-0.7362984,0.1012198,-0.5672102,0.4953656,-0.4485819,-0.1743010,0.1462553
0.8569556,0.5722827,0.9407179,0.6375038,-0.3126869,0.8697903,0.5569426
-0.2710663,-0.0452269,0.5505954,0.7683439,-0.9575288,0.8979783,-0.1371905
0.0502943,-0.2267163,-0.0135258,0.0371970,-0.1502304,-0.9739149,0.8139844
0.6146370,0.7120426,0.0888555,1.0286257,0.0250362,0.4058642,0.3005767
0.5764543,-0.2883422,-0.0768416,0.3296308,0.9601889,0.9526535,-0.2075570
-0.3524981,0.9504328,-0.4251181,0.4831235,0.2559811,0.4509914,0.2133756
0.2984523,-0.0523457,-0.6490078,-0.6617765,-0.8026311,0.5496171,-0.0210486
0.0471385,0.7133174,0.1323654,-0.5681674,0.2752277,0.6788592,-0.4598860
-0.6997361,0.2428666,0.4844516,1.0317820,0.3162867,-0.7124773,0.3101281
0.2764755,-1.2285130,-1.1714493,1.0741827,-0.9373800,-0.5480432,0.3004131
0.3186011,1.0289072,-0.6912245,-0.4000472,0.2519181,-0.4100263,-0.0342000
0.4492868,-0.5027636,0.8135945,-0.4244748,0.7152929,-0.2623127,0.1582007
-0.0094794,-0.3328189,0.9678172,0.3745365,0.5012701,0.5390055,0.1675026
-0.1824432,0.3598804,-0.7322668,-1.3969616,-0.9332956,-0.4197980,-0.9819902
-0.8706757,-0.0002875,0.7345290,-0.0195851,-0.0648929,0.8322116,-0.9350211
-0.8129749,-0.7969272,0.0185442,0.2026802,-0.4382239,-0.0244696,-0.8672628
-0.7229310,0.2781000,0.2855645,0.0467768,-0.8702357,-0.0107473,-0.4416258
0.6310344,-0.7943490,0.3276314,-0.7800970,-0.6452136,-0.7964923,-0.4573765
-0.5785093,0.1916439,0.0001614,0.0501855,0.8158685,0.8790563,0.9987406
-0.2490245,0.2779950,-0.8890319,-0.2748431,-0.8665466,0.0944985,-0.4256874
-0.3047705,-0.5383477,0.2060435,-0.4077572,0.7832466,0.9979877,-0.7601118
0.9130110,0.2449896,-0.4396676,1.0403639,0.5154986,-0.4758608,0.9926363
0.8702850,-0.0166747,-0.4167942,-0.7869291,0.5113566,0.0958931,-0.1574091
0.3272251,-0.1819418,-0.2061429,-0.9136992,-0.3137825,-0.0949491,0.0162013
-0.1803292,0.5343381,0.2392953,0.2584990,-0.9304217,-0.7024364,-0.5128012
0.8528249,-0.5630516,-0.0102383,0.9207752,0.2827917,0.5253493,0.3098811
-0.2017096,-1.0619425,0.7214063,-0.3512492,-0.2228646,0.8377774,-0.0396489
-0.7115080,0.3879804,0.6250787,0.9626758,0.9086200,-0.3557266,0.6939178
-0.4051625,0.8237619,-0.6395646,0.3792119,0.5488737,-0.6993673,-0.0705914
0.6184520,-0.4549293,-0.0115451,0.5898334,-0.1062524,-0.8563056,0.2371126
-0.8234607,1.0283107,-0.0282505,0.2965322,0.7185322,0.8495113,0.6434050
-0.5043324,0.4977666,-0.6928957,-0.5159022,-0.3790410,-0.5933019,-0.6001233
-0.4704209,-0.1488806,-1.0042493,-0.1061210,-0.3997042,-0.1960867,-0.4610751
-0.8508306,0.4559170,0.4108047,0.8870690,0.7027423,-0.1150590,0.2388982
-0.4035101,-0.1225250,-0.5124855,0.1469587,-0.3023210,0.0230045,0.7478589
-0.5837888,-0.3475819,0.8887745,0.2598979,-0.4401957,0.9950200,0.6960384
0.1807634,-0.3719371,-1.3092297,0.6277214,0.4526895,-0.8102906,-0.1652410
-0.9470146,-0.4572927,0.2946928,-0.3129578,-0.9018313,-0.1579824,0.9697760
0.8009109,0.6047541,0.5510165,-0.5173853,-0.2444060,0.6846850,0.1704301
0.4532729,-0.0022079,-0.4269349,0.7601663,0.5802052,-0.6904472,-0.2186370
-0.8599906,-0.8422812,-0.7359415,0.3363311,-0.2937092,-0.4266836,0.0311152
-0.8410196,0.1413498,0.9856527,-1.0809731,0.7566484,0.2395581,-0.5858794
0.8548170,-0.5141558,-0.3198177,0.1822923,0.8085343,0.5925708,-0.9468710
-0.4358718,0.7697279,-0.2055170,-0.5391551,0.9849453,-0.8581520,0.8868854
0.5651504,-0.6706130,-0.2589267,0.7181268,-0.2440265,0.1456497,0.0259326
0.4622643,0.4599628,-0.4814902,1.0378513,-0.5180082,0.9229219,0.8332105
-0.7613598,0.2845076,-0.9370559,-0.5319514,0.2440556,-0.3687724,0.7491852
0.0525900,-0.5256743,0.8152514,0.9337791,0.5010542,0.0258732,0.6341194
0.4859995,0.4772824,0.1156308,-0.0706954,0.6191218,-0.8107469,-0.2436904
-0.6249048,0.3618366,1.2018871,1.0666624,0.0538689,0.8392899,0.4586042
0.5358607,0.7245564,0.5613875,1.2084807,-0.0753083,0.5391457,0.8679581
-0.8312526,-1.1325418,0.8268713,0.1403651,-0.6058283,0.4194576,-0.1619445
0.8952259,-0.2481435,-0.0312351,0.0974129,0.6130519,0.9931796,-0.5676249
0.2321737,-0.5589011,0.1741480,0.8295824,0.5173354,-0.0290730,0.4446286
-0.4287958,-0.4035686,-0.4992431,-0.4521527,-0.4275714,-0.8049525,0.8815658
0.4971203,1.1864773,0.9328589,0.6094698,0.9045664,0.3666674,-0.1127950
-0.7012619,-0.0981474,0.3239782,-0.5184407,0.2314557,-0.8025647,0.5751892
-0.1554924,-1.1228621,-0.8943114,-0.5813430,-0.6269525,0.1962492,0.6839503
0.8903828,-0.8441278,-0.3555152,-0.7540864,-0.0226069,-0.9681883,-0.4313480
0.5498217,-0.2926142,-0.9499111,-0.0966532,0.9610523,-0.8002581,-0.2871904
0.8656186,0.2426766,0.7626519,-1.1564832,-0.6474658,0.3252752,-0.6416793
0.5839899,0.8793727,1.4040469,-0.8189126,0.7133253,0.9410743,-0.4948213
-0.9136273,0.2895731,-0.6520156,0.6959282,0.3044996,0.3177079,-0.5616574
-0.7181072,0.6377088,0.2356008,0.7710428,0.5763787,0.4572126,-0.1213436
0.5374310,0.7686356,0.6872061,0.6867528,0.2233636,0.1914806,0.5674063
0.5758978,-0.9635116,1.3553454,0.4540801,-0.9605337,0.8592368,0.5883851
0.7527915,0.7691289,-1.2650892,1.2471235,-0.0623654,-0.7173070,0.8159198
-0.7578657,0.5753610,-0.6151081,-0.7981032,-0.0500795,0.2612571,-0.6442586
-0.4737008,-0.5938181,0.1473297,-0.7028789,-0.6245760,-0.1741361,0.4667798
0.5987877,-1.2156026,0.0141427,-0.1580278,-0.4658996,-0.0400869,-0.6654267
-0.4264334,-0.3711197,0.4312201,-1.0908804,-0.3805389,-0.9834777,-0.8344777
0.5570956,-0.2509762,0.5992960,0.4608576,0.8996161,-0.7642954,-0.6767430
-0.1504633,0.1046770,0.1356966,0.5956191,-0.7845687,0.9133962,0.4395660
-0.4091446,-0.3824376,0.3766117,-0.6281933,-0.2433953,0.9405320,0.3643286
0.2907051,0.2602425,1.0098324,0.4595858,0.7195950,0.6218603,-0.8093702
-0.6609440,1.1071814,-0.9750500,1.2438434,0.9375978,-0.6624057,0.6953816
0.8372139,-0.8915699,-1.1325426,-0.7819566,-0.9297394,-0.3023629,-0.9374136
-0.7143081,-0.2138198,0.2064016,-0.0903577,0.3502935,-0.5915018,0.0661902
-0.8931018,-0.5262323,-1.0047708,0.5285411,0.2494751,-0.8705793,0.2618750
-0.0309299,0.9461136,0.8568329,0.4102647,0.3896635,0.8086569,0.2042779
0.3272612,-0.9939746,-0.1411912,0.5900881,-0.2804499,-0.0817018,0.8512257
-0.2101893,0.2294200,1.1217952,0.5515273,-0.7730314,0.4159645,0.9520497
0.5772622,0.4112088,0.2426194,0.7250433,-0.8265072,0.4487588,0.0817637
0.4229679,0.7429088,-0.2582895,-0.2578801,0.3294605,0.7961437,0.7001642
-0.2808760,0.9803277,0.3064929,-0.8481831,0.7510518,0.8041016,0.2108604
-0.5293981,-0.6084328,0.0500352,-0.0716299,-0.6616648,-0.0241019,-0.6640848
-0.4346963,-0.9999754,-0.5589316,-0.4440700,-0.7836748,0.3062049,0.8267264
-0.6101820,-0.5784647,0.0345548,0.4151988,-0.6668568,0.2521291,-0.7951760
0.6626037,-0.1251908,0.8097042,-0.9042166,-0.3469269,-0.1905697,-0.5718871
-0.5958751,-0.2185022,0.4895026,-0.5577036,0.3359318,-0.2989407,-0.8648605
0.6742669,0.2113677,-0.6494361,-1.0693603,-0.9311800,-0.2409804,-0.6178634
-0.7148548,-1.0246810,-0.7324592,-0.5811620,-0.1798118,0.1173532,-0.5122508
0.1533314,-0.4216398,-0.5086462,-0.0852335,0.4177549,-0.4024386,0.1976628
-0.9291720,-0.0827465,0.7581487,-0.3502071,-0.9794764,0.2647489,0.3496798
0.3564553,1.2871906,0.9627562,0.1658686,0.6427656,0.9558740,0.2702929
0.7115855,-0.3950473,1.0830755,0.8325766,-0.2198820,0.8612926,-0.3283061
0.6003063,0.1527099,0.5854512,0.0384242,0.3481281,0.8520162,0.5695728
-0.2341171,-0.1221378,-0.5362592,-0.0074572,0.8565693,-0.6069887,0.3116639
0.8770930,0.9695433,-0.7655746,-0.1343165,0.6235684,-0.8538370,-0.7357295
0.2663341,-0.9894980,0.6280593,-0.0347553,-0.1830696,0.1869929,-0.0253497
