mass,coord_x,coord_y,coord_z,velocity_x,velocity_y,velocity_z
-0.2081383,0.0443648,-0.1445072,-0.9096295,0.2271893,0.8894157,-0.5274243
-0.2967242,0.3591226,-0.9159381,-0.4686465,0.7878999,-0.2272968,0.9229395
0.5122685,1.2022085,0.6769481,-1.0785797,0.7871457,-0.2782636,-0.8755720
-0.5211850,0.4682985,0.2633553,-1.1550460,0.8962696,-0.0646070,-0.5758969
-0.5240641,0.8873300,0.4414942,0.5787371,-0.1212671,0.5681862,0.6218799
-0.8940778,0.1689890,-1.2594597,-0.2512619,-0.5772254,-0.7078344,-0.1209196
-0.7893255,0.0016206,-0.3889298,0.2640177,-0.1264965,-0.3818998,-0.9178500
-0.3393507,0.0198370,-0.5423046,0.2756475,-0.6399996,0.5022376,0.2723669
-0.7437301,-0.8695719,0.6234066,-0.7677929,-0.6144067,-0.1461291,-0.9999965
0.2643261,-0.1381133,0.9800537,-0.0400285,0.8796589,0.7163390,-0.8205538
-0.6975666,-0.9548087,0.4888003,-0.8688655,0.0733736,0.8605466,-0.7639492
0.9468770,-0.1121119,-0.9194100,-0.0189786,0.8184834,-0.4752211,0.7469907
-0.8215163,-1.2406617,-0.1227286,-0.4817670,-0.5353530,-0.2841724,0.1669596
-0.1497597,1.0655760,0.0613864,-0.6430275,0.9917555,-0.2111535,0.4848146
0.8714144,-0.7379688,0.5256534,-0.9826740,-0.4863099,-0.2772124,-0.3130443
0.5870637,-0.3856760,0.0436103,0.1046740,0.0619810,0.2412075,-0.8585330
-0.1195357,1.1624883,0.8423654,0.3057990,0.7930028,-0.0921848,0.4937017
-0.7423502,0.7203125,0.0744735,0.2191183,0.1933411,0.8276244,0.2224566
0.1850966,-0.3227011,-0.6069625,0.1716903,0.1216563,-0.6284679,0.2303588
0.6353464,0.4331468,0.8374741,0.1005856,0.6776539,-0.1596789,-0.2436493
-0.2603652,-0.4947151,-0.2090445,0.4596226,0.8475150,-0.2137247,-0.3209529
0.6405178,0.8529577,-0.9105456,0.9011956,0.3177333,-0.1665898,0.0060577
-0.4889256,-0.2002130,-0.8035917,0.5725122,0.2775054,-0.0642145,-0.2473179
-0.6008382,0.0081365,1.4332170,-0.8370318,-0.5983626,0.9003555,0.2569182
-0.9207088,-0.3482207,-1.0311893,-0.4615614,-0.1777948,-0.0889134,-0.5609748
-0.3302798,0.8930886,0.2634830,-1.0855583,0.3914524,0.2908212,-0.7915943
-0.2908143,-0.9831344,0.4359528,0.1784758,-0.2147340,0.4429778,-0.0835688
-0.9372286,-0.2781961,0.9951894,-0.7898459,0.6860809,0.6521542,-0.5035587
-0.9122817,0.1991030,1.1366731,-0.8400238,-0.7068138,0.7666285,-0.0140643
0.1153914,-0.6347465,0.1964771,0.3327867,-0.6249229,-0.4569668,-0.9046504
0.7665296,1.3128968,-0.4371348,-0.1762967,0.9580858,0.5182188,0.6959753
-0.2566483,0.1311764,-0.7468336,-0.0598486,0.3399599,-0.7184802,0.2680563
0.0260408,1.1767656,1.0234262,0.2541437,0.4861836,0.5178572,0.2807688
0.7793698,0.7655852,-0.3874635,-0.2653025,0.9622008,0.6916653,-0.3201272
-0.6627221,-1.2310239,-0.1852889,-1.1064302,-0.9314472,0.0789776,-0.4204773
-0.9733614,-0.1236069,-0.7805483,0.0580470,0.5583929,-0.1120954,0.5761135
-0.1016473,0.2209735,-0.3514963,0.9434702,0.1030984,-0.3913327,0.0381528
-0.4107180,-0.6679707,-0.8882641,-0.4996426,0.4110100,-0.4143741,0.2634131
0.3732108,-0.9667153,0.8025384,1.1176361,-0.4880103,-0.2814919,0.8142961
-0.4194575,0.4948252,-0.7715216,-0.2042330,-0.6053181,-0.3306832,0.3771714
0.9530748,0.4205450,0.3520120,-0.2606619,-0.2733542,0.7974545,-0.2241788
0.8297441,-0.8275554,0.3804216,-0.6871358,-0.4673538,-0.8671045,-0.2123220
0.9436563,-0.2835722,-0.4517198,0.3305449,-0.0041873,0.9943769,0.0273558
0.5078024,-0.5319292,-0.0406128,-1.0638914,-0.4896294,0.2354707,-0.3044741
-0.0949475,1.1357912,-0.9143119,0.2129049,0.4620087,0.0259820,0.7095550
-0.8113455,-0.0617843,-0.8649502,-1.2628877,0.2295582,-0.7006499,-0.5625752
0.7622045,-0.4923696,0.3631994,0.7172243,0.1507670,0.2761939,0.0227278
-0.8534203,0.7622977,-1.0040493,1.0257455,0.9834557,-0.1082646,0.7427268
-0.5061738,-1.3567964,-0.8062724,0.0273820,-0.9680066,-0.4890500,-0.7429938
0.4940022,0.2171160,0.6925287,1.0331855,-0.6396316,-0.5480627,0.7010553
0.5899267,-0.1569460,-0.6797287,0.3811273,0.1835330,0.3635828,0.0579919
-0.6657000,0.0949503,-1.3538809,-0.9514894,0.9103472,-0.8691967,-0.8647383
0.8938029,0.0974112,0.5361082,-0.2191173,0.1497447,-0.6837588,0.7865078
0.1817383,-0.4907474,-1.4514489,-0.6450608,-0.6358769,-0.9899249,-0.6416029
-0.2755085,-0.4313370,-1.3415800,-0.3523077,0.2132998,-0.8020676,0.6665493
-0.6031673,0.1621611,-0.3728290,-0.1628611,-0.7987081,-0.1947390,0.2120124
-0.8883609,0.4153660,0.4599060,-1.2980231,0.9586030,0.2252625,-0.6069288
0.1083479,0.2258512,-1.2088749,-0.7269995,-0.6313051,-0.7769071,-0.0341735
-0.2671820,-0.9192411,0.5160612,0.8431723,-0.3048196,0.3836759,0.7717277
0.9084800,0.6531698,0.0196859,-0.6764631,0.1431236,-0.8371817,0.0364455
0.3444155,0.4201508,-0.4536769,0.6868024,0.9041436,0.5957320,0.4614968
0.8627466,-0.4977562,0.3716421,0.1016848,-0.6375017,-0.9658531,0.2611806
-0.2688068,-0.9975551,-0.4973779,0.4246721,-0.5095922,0.5512308,-0.0786793
0.1855881,-0.3068358,-0.7412884,0.2937587,-0.4834849,-0.8686745,0.3993810
0.6596388,-0.5747439,-0.7220305,-0.2658912,0.2622230,-0.3157157,-0.5398909
0.1663666,-0.6694778,1.3096917,-0.4707831,0.1010107,0.7761737,-0.9997923
0.4635090,0.3441015,0.5055857,-0.4759405,-0.9324396,0.4883955,0.6587133
-0.4420317,0.5268927,-0.2834252,0.6623689,0.9745330,0.2730824,-0.1623754
-0.5089520,0.7536848,-0.9265794,-0.7719433,0.6985517,-0.3271679,0.1547412
-0.0392253,0.6756823,0.8830771,-0.7947320,0.6371326,0.5364561,0.1562544
-0.2618567,0.3741045,-0.1346126,-1.1001698,0.1229504,-0.5821495,-0.6036456
0.1905109,0.8791826,-1.1273820,0.9944973,-0.0541277,-0.3648983,0.4920355
-0.0795947,1.0644795,-0.8870057,0.6925223,0.3125920,-0.4333343,0.5621401
0.0111437,0.0378048,-0.6172534,0.5214472,-0.4033858,-0.6682685,-0.9009405
-0.7662532,0.9585958,-0.0387978,0.0586615,0.1808174,-0.5882239,0.1735425
-0.6962322,-0.3024369,0.8823802,0.6156576,-0.2641273,0.6249647,0.2427578
0.6817449,-1.1558071,-0.2329801,-0.8910484,-0.8317494,0.0644534,-0.9863965
0.4808426,0.5664272,0.2220557,-0.7760618,-0.1293831,-0.7073750,-0.5360955
0.4672310,-0.6293716,-0.0278967,0.5374107,-0.5074561,0.8182780,-0.3271320
0.6733613,-0.7401049,1.0545640,1.2128354,0.0596807,0.4163074,0.4714078
0.7955533,0.1919413,-0.0613551,0.0170225,0.3013384,0.4489588,-0.9205514
0.4695890,-0.9143227,-0.5725510,0.1716406,-0.8554689,0.6687957,0.4424179
0.0151480,0.7543095,0.6409653,-0.9259425,-0.4142230,-0.5307137,-0.8166431
0.0783210,-0.9536260,-0.2924574,-0.3839123,-0.4823818,-0.2973647,-0.2711886
0.5772989,-0.8009487,-0.8425888,0.2979278,0.1602148,-0.0856153,-0.1498494
-0.5384467,-0.6982788,-0.0590752,0.8719280,-0.1232445,0.0226513,-0.1184261
0.0212866,-0.4821188,-1.0608516,-1.2041594,-0.3471323,-0.7696860,-0.4811863
