mass,coord_x,coord_y,coord_z,velocity_x,velocity_y,velocity_z
0.6803755,0.2004133,0.2637497,0.4321030,0.8232948,-0.6048973,-0.3295545
0.5364592,-0.3155794,-0.0272755,-0.0318049,0.2577418,-0.2704310,0.0268018
0.9044595,0.4739934,0.3783930,-0.0491054,-0.7167948,0.2139378,-0.9673989
-0.5142264,-0.8245938,0.2381441,-1.0778331,-0.1981112,-0.7404191,-0.7823824
0.9978490,-0.4508460,-0.1781037,0.8157770,0.2252797,-0.4079368,0.2751045
0.0485743,0.2585236,0.9722947,-0.1450527,0.5427154,0.0534899,0.5398277
-0.1995428,1.0907836,-0.0143439,-0.7253276,0.6154491,0.8380530,-0.8604894
0.8986541,0.2152174,-0.4376565,-0.7666790,0.3264538,0.7804652,-0.3022141
-0.8716574,-1.2216724,0.3860375,-0.4715993,-0.5234401,0.9412682,0.8044162
0.7018396,-0.2064197,0.0920559,-0.0818623,0.5204974,0.0250708,0.3354475
0.0632129,-0.4906288,0.0962275,0.6479639,0.8616196,0.4419047,-0.4314132
0.4770687,-0.0540682,-0.3517979,0.7557978,-0.6680517,-0.1197910,0.7601504
0.6584022,-0.4889661,-0.3553939,1.2432137,-0.2992796,0.3733398,0.9129364
0.1772803,0.7385783,0.6157893,0.1938867,0.8479396,-0.2031267,0.6295338
0.3684371,1.2721976,0.3851095,-0.9206910,0.9005047,0.8402565,-0.7046800
0.7621243,0.0632206,0.1499090,0.0466508,-0.4378812,0.5720042,-0.3850843
-0.1059328,-0.4913439,-0.7084339,-0.7779223,0.1128875,-0.1669974,-0.6607858
0.8136078,-0.5331824,-0.2630974,0.4258918,0.5209504,0.9695033,0.8700080
0.3688900,-0.4394634,0.2318037,-0.1781842,-0.4116793,-0.5354769,0.1689770
-0.5111746,-0.4017505,0.1283993,-0.5039797,0.5869408,-0.6717961,0.4901428
-0.8509404,0.5764178,-1.1548785,0.3409249,-0.6475787,-0.5198753,0.5955961
0.4653088,0.5728624,0.5282917,-0.0861810,0.5194697,-0.8130391,-0.7301952
0.0404202,-0.8821148,-0.5405096,-0.5173701,-0.0771590,0.6393546,0.1466372
