mass,coord_x,coord_y,coord_z,velocity_x,velocity_y,velocity_z
0.7460706,0.1153178,-0.5417054,-0.8136474,-0.9937364,-0.8005629,-0.4430144
-0.3307456,0.3355184,0.5591834,1.3415047,-0.4820881,0.0808800,0.8739681
-0.9289226,-0.9458930,-0.5103657,-0.8341956,-0.0857431,-0.5883515,-0.8764191
-0.1818557,0.4317733,0.5599902,-0.5302375,-0.6614898,-0.3417611,0.0426598
-0.1074520,-0.7786958,0.1555142,-0.3381431,-0.7776728,0.6760601,0.0464768
-0.7714092,1.1015283,0.6645660,-0.2009727,0.4520599,0.1222069,-0.1976357
0.9699718,-1.1468817,-0.0935965,-1.1364177,-0.6999354,0.4601426,-0.3549364
0.2143215,1.1889474,-0.4815981,-1.2270830,0.6343104,-0.5004847,-0.5191013
0.9728205,0.5417018,0.1940802,0.1173620,0.7678953,-0.6589571,0.5039871
0.9902226,-0.5365983,-0.8725739,-0.7228576,0.8926002,-0.8460737,0.1166584
0.3446600,0.5157440,0.7167008,0.4924728,0.4792203,-0.4046447,0.3556811
0.7792848,-0.4808584,-1.1145605,0.0066422,0.9272889,-0.2306108,0.0260720
0.5615993,-0.0177663,0.5222356,0.2343134,-0.5733414,0.0305293,-0.6002117
-0.8054461,0.5659100,0.6308963,-1.1134298,0.3886751,-0.5457608,-0.5964103
0.2812753,0.0503148,0.7398823,0.0962190,0.8842988,0.4392711,0.9405673
0.3635191,-1.4203119,0.4447443,-0.2889912,-0.9098758,0.2969930,-0.8635899
-0.9825869,-0.7659737,-0.0027915,0.6357292,0.3352866,-0.3305472,0.1134322
0.7619451,0.7357597,0.7217175,0.5271369,0.0715543,0.4169958,-0.8587246
-0.5397706,0.6109356,-0.9225783,0.4252246,-0.5205994,-0.9348866,-0.6325600
-0.6363006,0.7738899,-0.3898652,0.6622285,0.5390108,0.6042556,-0.1299778
0.6291350,-0.1149359,-0.4091105,0.7593291,-0.0323692,-0.8310857,0.2255605
-0.6970826,-0.3924582,-0.2349005,-1.4244559,-0.4616508,0.8522133,-0.9786384
0.6099035,0.3394307,-0.9836118,-0.5240491,0.1404442,-0.2924978,0.8116374
0.6198448,-0.5888836,-1.0773796,1.3389249,-0.7229999,-0.5129153,0.7107625
0.8160110,-0.9123641,-0.1256069,0.4909924,-0.0074111,0.5872171,0.0916940
0.9602197,0.5533801,-0.8546214,-1.0728625,-0.4055016,-0.3437526,-0.6720003
0.1328475,-0.1027043,-0.8946393,-0.3508075,0.7776697,-0.4880016,-0.1871163
-0.0818862,0.7155582,-0.4736790,-0.7012913,0.9921162,-0.1964015,-0.4784973
-0.7308836,0.4816953,-0.8612097,-0.6497363,0.3820236,-0.1869500,0.5302732
-0.6253875,-1.0215340,-0.4084221,-0.8661844,-0.8436016,-0.0607781,-0.4020306
-0.2491032,0.1474342,0.0636345,0.6969911,-0.8960701,0.2753305,-0.3735047
0.8815995,0.7907444,-0.0286709,-0.0314505,0.0068295,-0.9360999,0.3376720
-0.0010542,-0.5534104,0.4048949,0.4446573,-0.8418182,-0.9085600,0.3531895
0.5402054,0.0568686,0.1361777,0.5396423,0.3047571,0.5054299,-0.7503499
0.4611555,-1.0352876,0.2344139,-1.2400490,-0.9598790,0.7735887,-0.9042033
-0.8559492,-0.0329567,-0.6968725,-1.0616696,-0.1637519,-0.8383291,-0.1746362
0.8430775,-0.7278957,-1.3258593,-0.6029342,0.0930696,-0.9777895,-0.8899145
0.2512513,-0.8772776,0.1366442,-0.3554062,0.0181407,-0.6532624,-0.2937255
-0.6771022,0.5005777,0.3576967,1.2821051,-0.7031807,0.8035440,0.9961057
-0.6630597,0.3901589,-1.0010004,-0.7656886,-0.3739481,-0.1858056,-0.4933584
0.4622999,0.0765836,0.5795257,-0.1209221,0.2014364,0.4950413,-0.8525990
